application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
47,Male,TRUE,3.13,Humanities,,610,5,PE/VC,Denied
48,Male,FALSE,3.33,STEM,Hispanic,720,7,Consulting,Admit
49,Male,FALSE,3.23,STEM,Black,660,6,Other,Denied
50,Male,FALSE,3.38,STEM,Hispanic,680,5,Consulting,Denied
51,Male,FALSE,3.26,Business,White,670,6,Consulting,Waitlist
52,Male,FALSE,3.43,Business,Asian,650,4,Nonprofit/Gov,Denied
53,Male,FALSE,3.19,Business,White,650,5,Financial Services,Denied
54,Female,FALSE,3.23,STEM,Asian,700,6,PE/VC,Admit
55,Male,FALSE,2.96,STEM,Black,610,6,Consulting,Denied
56,Female,FALSE,3.44,STEM,Black,680,4,PE/VC,Denied
57,Male,FALSE,3.09,Business,Other,610,6,Consulting,Denied
58,Female,TRUE,3.05,Business,,650,7,Health Care,Admit
59,Male,TRUE,3.01,Humanities,,660,6,Consulting,Denied
60,Male,FALSE,3.41,Humanities,White,740,4,Financial Services,Denied
61,Female,FALSE,3.27,Business,White,670,5,Consulting,Admit
62,Male,FALSE,3.13,Humanities,Black,630,5,Financial Services,Denied
63,Female,TRUE,3,STEM,,640,3,Financial Services,Admit
64,Male,FALSE,3.36,STEM,Black,650,5,Technology,Denied
65,Female,FALSE,3.39,Humanities,White,680,5,Investment Banking,Admit
66,Male,TRUE,3.31,Business,,670,4,Nonprofit/Gov,Denied
67,Male,FALSE,3.07,STEM,Other,570,6,Other,Denied
68,Male,FALSE,3.53,STEM,White,690,5,Technology,Denied
69,Male,FALSE,3.49,Business,Black,620,4,Energy,Denied
70,Male,FALSE,3.41,Humanities,White,690,6,Technology,Admit
71,Male,TRUE,3.34,STEM,,690,5,Nonprofit/Gov,Denied
72,Female,FALSE,3.33,Humanities,Hispanic,680,5,Consulting,Waitlist
73,Female,TRUE,3.34,STEM,,680,5,PE/VC,Admit
74,Female,TRUE,2.89,Humanities,,670,5,Consulting,Admit
75,Female,TRUE,3.35,Business,,640,5,PE/VC,Admit
76,Female,FALSE,3.24,Humanities,Hispanic,590,4,Nonprofit/Gov,Waitlist
77,Male,FALSE,3.18,Humanities,Black,640,4,PE/VC,Denied
78,Male,TRUE,3.2,Humanities,,640,5,Nonprofit/Gov,Denied
79,Male,FALSE,3.17,Business,Hispanic,640,4,Other,Denied
80,Female,FALSE,3.1,STEM,Asian,680,4,Health Care,Admit
81,Male,FALSE,2.93,Humanities,Hispanic,620,4,Technology,Denied
82,Male,TRUE,3.2,STEM,,730,4,PE/VC,Denied
83,Male,FALSE,3.52,STEM,Hispanic,610,6,Consulting,Denied
84,Female,FALSE,3.35,Humanities,White,710,6,Consulting,Admit
85,Male,FALSE,3.15,STEM,Hispanic,620,4,PE/VC,Denied
86,Male,FALSE,3.21,Business,Hispanic,640,6,Nonprofit/Gov,Denied
87,Male,FALSE,3.1,Business,Hispanic,670,7,Financial Services,Denied
88,Male,FALSE,3.48,Business,White,710,5,Consulting,Admit
89,Male,FALSE,3.15,Humanities,Asian,650,6,Consulting,Denied
90,Male,FALSE,3.09,Business,Other,610,6,Consulting,Denied
91,Female,FALSE,3.14,Humanities,Hispanic,660,6,Consulting,Denied
92,Male,FALSE,2.97,STEM,Asian,580,4,Consulting,Denied
93,Male,FALSE,3.17,STEM,White,670,5,PE/VC,Denied
94,Female,FALSE,3.23,Humanities,White,620,7,Nonprofit/Gov,Admit
95,Female,FALSE,3.05,Humanities,White,600,5,Other,Admit
96,Male,FALSE,3.32,Business,Black,670,4,Consulting,Admit
97,Male,FALSE,3.08,Humanities,Asian,640,5,Technology,Denied
98,Male,TRUE,3.36,STEM,,690,5,CPG,Denied
99,Male,FALSE,3.1,Humanities,White,610,5,Health Care,Denied
100,Female,FALSE,3.38,Humanities,White,660,5,Consulting,Admit
101,Male,FALSE,3.26,Humanities,Hispanic,650,6,Real Estate,Denied
102,Male,FALSE,3.2,Humanities,Hispanic,600,4,Investment Banking,Denied
103,Male,FALSE,3.65,Humanities,Black,700,6,Health Care,Denied
104,Female,TRUE,3.34,Business,,650,5,Financial Services,Admit
105,Female,FALSE,3.3,Humanities,Hispanic,670,4,Nonprofit/Gov,Admit
106,Male,FALSE,3.11,Business,Asian,610,6,PE/VC,Denied
107,Male,TRUE,3.08,Humanities,,740,4,Health Care,Denied
108,Male,FALSE,3.2,STEM,White,590,5,Consulting,Denied
109,Male,TRUE,3.3,STEM,,590,5,Other,Denied
110,Male,FALSE,3.21,Humanities,Black,610,4,PE/VC,Denied
111,Female,FALSE,3.26,Humanities,Black,670,6,Consulting,Denied
112,Female,FALSE,3.29,STEM,Hispanic,640,6,Investment Banking,Denied
113,Female,FALSE,3.25,Humanities,Hispanic,640,5,Other,Denied
114,Female,FALSE,3.2,Humanities,Asian,680,7,Consulting,Admit
115,Female,FALSE,3.23,STEM,Asian,610,5,Nonprofit/Gov,Admit
116,Male,FALSE,3.32,Humanities,Hispanic,670,4,Media/Entertainment,Denied
117,Female,FALSE,3.46,STEM,White,660,5,Consulting,Admit
118,Female,FALSE,3.29,Humanities,Black,610,4,Consulting,Denied
119,Male,FALSE,3.33,Humanities,White,680,4,Financial Services,Admit
120,Female,TRUE,2.99,Humanities,,570,6,Real Estate,Admit
121,Male,FALSE,3.22,Business,Black,610,5,Technology,Denied
122,Female,TRUE,3.29,Business,,710,4,Consulting,Admit
123,Male,TRUE,3.26,Humanities,,650,4,PE/VC,Denied
124,Male,FALSE,3.25,Humanities,Asian,620,6,Technology,Denied
125,Male,TRUE,3.32,STEM,,630,6,Technology,Denied
126,Male,FALSE,3.44,Business,White,740,6,PE/VC,Denied
127,Male,TRUE,3.4,Humanities,,730,5,Nonprofit/Gov,Denied
128,Female,FALSE,3.51,Humanities,Black,700,7,Nonprofit/Gov,Denied
129,Female,FALSE,3.43,Humanities,Black,710,7,Other,Denied
130,Female,FALSE,3.27,Business,White,660,6,Other,Admit
131,Male,FALSE,3.34,Humanities,White,700,4,Consulting,Admit
132,Male,FALSE,3.07,Humanities,Other,640,6,Other,Denied
133,Male,TRUE,3.36,Humanities,,670,2,PE/VC,Denied
134,Male,FALSE,3.21,Humanities,White,690,7,Real Estate,Denied
135,Female,FALSE,3.28,Humanities,White,610,6,Consulting,Admit
136,Female,FALSE,3.06,Business,Black,650,5,Consulting,Denied
137,Male,FALSE,3.32,Business,White,670,4,Financial Services,Denied
138,Male,TRUE,3.33,Humanities,,670,5,Consulting,Denied
139,Female,FALSE,3.31,STEM,Asian,600,5,Investment Banking,Admit
140,Male,FALSE,3.16,STEM,Hispanic,570,5,Technology,Denied
141,Male,FALSE,3.2,STEM,Asian,600,6,Consulting,Denied
142,Male,TRUE,3.17,STEM,,600,4,Investment Banking,Denied
143,Female,TRUE,3.48,STEM,,780,5,PE/VC,Admit
144,Male,FALSE,3.1,STEM,Asian,570,5,Nonprofit/Gov,Denied
145,Male,FALSE,2.95,Business,Asian,590,5,Investment Management,Denied
146,Male,FALSE,3.32,Humanities,White,570,6,Technology,Denied
147,Male,FALSE,3.24,Humanities,Black,660,7,Investment Management,Denied
148,Female,FALSE,3.21,STEM,Black,580,6,Financial Services,Denied
149,Male,FALSE,3.32,Humanities,Asian,660,4,Investment Banking,Denied
150,Male,FALSE,3.2,Humanities,Hispanic,630,6,Technology,Denied
151,Male,FALSE,3.37,Business,Asian,710,5,Technology,Admit
152,Male,FALSE,3.14,Humanities,Asian,620,5,Technology,Denied
153,Female,TRUE,3.32,Humanities,,650,5,Real Estate,Admit
154,Female,TRUE,3.13,Business,,580,4,Consulting,Admit
155,Female,FALSE,3.55,Humanities,Asian,680,6,PE/VC,Admit
156,Male,FALSE,3.22,STEM,White,620,5,PE/VC,Denied
157,Male,TRUE,3.42,STEM,,630,6,Financial Services,Denied
158,Female,FALSE,3.18,STEM,Asian,650,6,Nonprofit/Gov,Admit
159,Male,TRUE,3.14,STEM,,620,6,Nonprofit/Gov,Denied
160,Male,TRUE,3.24,Humanities,,680,7,PE/VC,Denied
161,Male,FALSE,3.3,Business,White,630,3,PE/VC,Denied
162,Female,FALSE,3.2,STEM,White,610,4,Consulting,Admit
163,Male,FALSE,3.41,Humanities,Black,710,4,PE/VC,Denied
164,Male,TRUE,3.03,STEM,,570,5,Consulting,Denied
165,Male,FALSE,3.3,Humanities,Asian,640,9,Consulting,Denied
166,Female,FALSE,3.17,STEM,White,600,4,Nonprofit/Gov,Admit
167,Female,FALSE,3.43,Business,White,680,3,Consulting,Admit
168,Male,FALSE,3.36,STEM,Black,700,5,PE/VC,Admit
169,Female,TRUE,3.15,STEM,,650,5,Investment Banking,Admit
170,Female,FALSE,3.23,Business,Black,680,6,Health Care,Admit
171,Female,FALSE,3.36,Humanities,Asian,710,4,CPG,Admit
172,Male,FALSE,3,STEM,Asian,570,6,Financial Services,Denied
173,Male,FALSE,3.25,Humanities,Asian,640,7,PE/VC,Denied
174,Male,FALSE,3.15,Humanities,Hispanic,620,3,PE/VC,Denied
175,Female,TRUE,3.17,STEM,,630,6,Nonprofit/Gov,Admit
176,Male,FALSE,2.97,STEM,Asian,610,6,Technology,Denied
177,Female,FALSE,3.25,Humanities,White,670,5,Consulting,Admit
178,Male,FALSE,3.33,Humanities,Other,640,3,Other,Denied
179,Male,FALSE,3.43,Business,Asian,680,3,Consulting,Denied
180,Male,TRUE,3.17,Humanities,,670,4,Technology,Denied
181,Male,TRUE,3.4,Business,,750,4,Nonprofit/Gov,Denied
182,Male,FALSE,3.24,STEM,Black,600,5,Investment Management,Denied
183,Male,FALSE,3.34,Humanities,White,700,5,Consulting,Admit
184,Male,TRUE,3.29,Humanities,,660,6,Energy,Denied
185,Male,TRUE,3.04,Business,,660,6,Nonprofit/Gov,Denied
186,Male,TRUE,3.4,Humanities,,690,6,Other,Admit
187,Male,TRUE,3.01,Humanities,,670,6,Technology,Denied
188,Male,FALSE,3.54,STEM,Hispanic,700,5,Other,Denied
189,Male,FALSE,3.23,STEM,White,710,6,PE/VC,Denied
190,Male,TRUE,3.15,Humanities,,650,6,Consulting,Denied
191,Female,FALSE,3.32,Humanities,White,730,5,Nonprofit/Gov,Admit
192,Male,FALSE,3.47,Business,Asian,690,7,Investment Management,Denied
193,Female,FALSE,3.29,Business,Black,590,3,Real Estate,Denied
194,Male,FALSE,3.2,STEM,Asian,690,5,Energy,Denied
195,Female,TRUE,3.48,Humanities,,670,5,Financial Services,Admit
196,Female,FALSE,3.14,Business,White,600,3,Nonprofit/Gov,Admit
197,Male,TRUE,3.45,Humanities,,620,5,Consulting,Denied
198,Male,FALSE,3.31,STEM,Hispanic,620,3,PE/VC,Denied
199,Female,FALSE,3.6,Humanities,Other,670,5,Consulting,Admit
200,Male,FALSE,3.5,STEM,Hispanic,700,6,Investment Management,Admit
201,Male,FALSE,3.61,Business,Hispanic,690,5,Technology,Denied
202,Male,FALSE,3.11,STEM,Black,650,5,Financial Services,Denied
203,Male,TRUE,3.1,Humanities,,580,6,Consulting,Denied
204,Male,TRUE,3.06,STEM,,620,6,Nonprofit/Gov,Denied
205,Male,TRUE,3.18,Business,,630,3,Nonprofit/Gov,Denied
206,Male,FALSE,3.05,Humanities,White,570,8,Consulting,Denied
207,Male,FALSE,3.45,Humanities,Other,700,6,Consulting,Admit
208,Female,TRUE,3.26,Business,,630,6,Consulting,Admit
209,Male,FALSE,3.35,Business,White,660,5,Consulting,Admit
210,Female,FALSE,3.23,Business,White,670,5,Nonprofit/Gov,Admit
211,Male,TRUE,3.11,Business,,640,4,Nonprofit/Gov,Denied
212,Female,FALSE,3.44,Business,White,750,5,Technology,Admit
213,Female,FALSE,3.14,Humanities,Black,580,5,Technology,Denied
214,Female,FALSE,3.24,Business,White,660,6,Technology,Admit
215,Male,TRUE,3.43,Humanities,,610,5,Technology,Denied
216,Male,FALSE,3.27,STEM,Asian,600,5,PE/VC,Denied
217,Male,FALSE,3.41,Humanities,Asian,670,5,Consulting,Denied
218,Female,FALSE,3.02,Humanities,Asian,570,4,Consulting,Admit
219,Male,FALSE,3.24,STEM,White,670,3,Consulting,Denied
220,Male,FALSE,3.23,STEM,Black,630,5,Technology,Denied
221,Male,FALSE,3.09,Humanities,Asian,690,5,Other,Denied
222,Male,FALSE,3.64,STEM,Black,680,4,PE/VC,Denied
223,Male,FALSE,3.71,STEM,White,720,6,Other,Denied
224,Female,FALSE,3.19,Business,Asian,630,5,Investment Banking,Admit
225,Female,FALSE,3.24,STEM,Asian,670,4,Consulting,Admit
226,Male,FALSE,3.01,Humanities,Asian,610,4,PE/VC,Denied
227,Male,FALSE,3.4,Business,Asian,630,4,Consulting,Denied
228,Female,FALSE,3.18,Humanities,Black,650,5,Consulting,Denied
229,Male,TRUE,3.39,Humanities,,650,6,Other,Denied
230,Female,FALSE,3.06,STEM,Hispanic,640,6,Nonprofit/Gov,Denied
231,Male,TRUE,3.01,Business,,610,6,Technology,Denied
232,Male,FALSE,3.34,Business,Asian,590,5,PE/VC,Denied
233,Male,TRUE,3.34,STEM,,680,8,Technology,Denied
234,Male,TRUE,3.33,STEM,,720,5,Nonprofit/Gov,Admit
235,Male,FALSE,3.4,STEM,Black,680,4,Other,Denied
236,Male,FALSE,3.02,STEM,Black,590,5,Consulting,Denied
237,Male,FALSE,3.49,Humanities,White,720,3,Consulting,Denied
238,Male,FALSE,3.45,Humanities,White,710,4,PE/VC,Denied
239,Male,FALSE,3.33,Humanities,White,660,5,Media/Entertainment,Denied
240,Female,FALSE,3.27,Humanities,Black,680,5,Health Care,Denied
241,Female,FALSE,3.15,Business,White,620,6,Technology,Admit
242,Female,FALSE,3.11,STEM,Asian,620,4,Financial Services,Admit
243,Male,TRUE,3.15,Humanities,,590,5,Investment Management,Denied
244,Male,FALSE,3.11,Business,Asian,600,7,PE/VC,Denied
245,Male,FALSE,3.17,Business,Asian,640,6,Other,Denied
246,Female,FALSE,3.02,STEM,Asian,570,5,Other,Admit
247,Male,TRUE,3.04,STEM,,630,5,Other,Denied
248,Male,FALSE,3.22,STEM,White,650,5,PE/VC,Denied
249,Male,TRUE,3.77,STEM,,780,5,Consulting,Denied
250,Female,FALSE,3.31,Business,Hispanic,590,5,Nonprofit/Gov,Denied
251,Male,FALSE,3.3,Humanities,Asian,660,4,Investment Banking,Denied
252,Male,FALSE,3.26,Humanities,White,690,4,Nonprofit/Gov,Denied
253,Male,FALSE,3.1,Humanities,White,570,5,Financial Services,Denied
254,Female,FALSE,3.61,Humanities,Black,740,6,Health Care,Admit
255,Female,FALSE,3.33,Business,Black,620,5,Consulting,Denied
256,Male,TRUE,3.28,Humanities,,750,3,Nonprofit/Gov,Denied
257,Female,FALSE,3.47,STEM,Black,730,4,Technology,Denied
258,Male,TRUE,3.27,Humanities,,640,4,Investment Banking,Denied
259,Male,FALSE,3.33,STEM,Black,670,3,Technology,Denied
260,Female,FALSE,3.28,Humanities,Black,650,5,PE/VC,Denied
261,Male,TRUE,3.32,Humanities,,750,4,Consulting,Denied
262,Male,FALSE,3.1,Business,Black,620,6,Consulting,Denied
263,Male,FALSE,3.21,Business,White,630,6,Investment Management,Denied
264,Male,FALSE,3.12,Humanities,Hispanic,620,4,PE/VC,Denied
265,Male,TRUE,3.05,Humanities,,600,5,Technology,Denied
266,Male,FALSE,3.31,Humanities,White,620,5,Nonprofit/Gov,Denied
267,Male,FALSE,3.28,STEM,White,600,5,Consulting,Denied
268,Male,FALSE,2.95,Humanities,Hispanic,600,5,Nonprofit/Gov,Denied
269,Female,FALSE,3.19,STEM,Hispanic,690,4,PE/VC,Denied
270,Female,TRUE,3.34,Humanities,,670,5,Nonprofit/Gov,Admit
271,Female,TRUE,3.34,Business,,620,4,Consulting,Admit
272,Male,FALSE,3.43,Humanities,Other,680,5,Other,Denied
273,Female,FALSE,3.23,Humanities,Other,670,6,Investment Banking,Admit
274,Male,FALSE,3.31,STEM,Asian,650,4,Investment Banking,Denied
275,Male,TRUE,3.3,STEM,,650,5,Technology,Denied
276,Female,FALSE,3.05,Humanities,Asian,630,5,Consulting,Admit
277,Male,FALSE,3.52,Humanities,White,770,3,Investment Banking,Denied
278,Female,FALSE,3.15,Business,Black,570,5,Financial Services,Denied
279,Female,FALSE,3.11,Business,Black,660,6,Technology,Denied
280,Male,FALSE,3.05,Business,Asian,610,5,PE/VC,Denied
281,Male,TRUE,3.04,Business,,570,5,PE/VC,Denied
282,Male,FALSE,3.3,Business,White,650,6,Technology,Denied
283,Male,FALSE,3.58,Business,White,740,4,Investment Banking,Admit
284,Female,FALSE,2.97,Humanities,Asian,590,4,Nonprofit/Gov,Admit
285,Male,FALSE,3.29,STEM,Black,630,5,PE/VC,Denied
286,Female,FALSE,3.49,Business,Asian,780,6,PE/VC,Admit
287,Female,TRUE,3.33,STEM,,640,7,Consulting,Admit
288,Male,FALSE,3.14,Business,Hispanic,580,2,PE/VC,Denied
289,Male,FALSE,3.42,STEM,Asian,750,3,Media/Entertainment,Admit
290,Male,TRUE,3.18,STEM,,600,4,Technology,Denied
291,Male,FALSE,2.98,Business,Asian,630,7,Nonprofit/Gov,Denied
292,Female,TRUE,2.99,Humanities,,630,6,Nonprofit/Gov,Admit
293,Male,FALSE,3.1,Business,White,600,7,Nonprofit/Gov,Denied
294,Female,FALSE,3.35,Business,Asian,670,5,Technology,Admit
295,Male,FALSE,2.95,Humanities,Asian,570,4,Consulting,Denied
296,Male,FALSE,3.16,Business,Asian,580,5,Consulting,Denied
297,Female,TRUE,3.34,Humanities,,570,5,Consulting,Admit
298,Male,FALSE,3.14,Business,Black,660,5,Financial Services,Denied
299,Male,FALSE,3.1,STEM,Asian,630,4,PE/VC,Denied
300,Male,FALSE,3.21,Humanities,White,660,3,Nonprofit/Gov,Denied
301,Male,FALSE,3.37,Business,Hispanic,690,5,Nonprofit/Gov,Denied
302,Male,FALSE,3.36,Business,Asian,720,4,Technology,Admit
303,Male,FALSE,3.2,Humanities,Hispanic,650,6,Technology,Denied
304,Female,FALSE,3.15,Business,Black,620,6,Consulting,Denied
305,Male,FALSE,3.53,STEM,Asian,660,5,Investment Banking,Admit
306,Female,FALSE,3.24,Humanities,Hispanic,660,6,Consulting,Denied
307,Female,FALSE,3.25,Humanities,Asian,710,6,Technology,Admit
308,Female,FALSE,3.34,Humanities,Asian,760,4,PE/VC,Admit
309,Male,FALSE,3.16,STEM,Asian,650,5,Health Care,Denied
310,Male,FALSE,3.4,STEM,White,630,5,Investment Banking,Denied
311,Male,FALSE,3.49,Business,Other,700,5,Investment Management,Admit
312,Male,FALSE,3.17,Humanities,Hispanic,670,2,Investment Banking,Denied
313,Male,FALSE,3.3,Business,White,650,4,PE/VC,Denied
314,Female,FALSE,3.25,Humanities,Asian,580,5,Consulting,Admit
315,Male,FALSE,3.33,Business,White,580,5,Consulting,Denied
316,Female,FALSE,3.29,Humanities,Asian,700,4,Investment Management,Admit
317,Male,FALSE,3.32,Humanities,White,700,6,PE/VC,Denied
318,Female,TRUE,3.33,STEM,,680,4,Health Care,Admit
319,Female,FALSE,3.32,Humanities,White,630,5,Consulting,Admit
320,Male,FALSE,3.03,Humanities,Asian,590,4,Consulting,Denied
321,Male,FALSE,3.44,Business,Black,650,6,Investment Banking,Denied
322,Female,TRUE,3.24,STEM,,610,5,Other,Admit
323,Female,FALSE,3.36,Humanities,Black,650,6,Technology,Denied
324,Female,TRUE,3.14,Humanities,,580,5,Nonprofit/Gov,Admit
325,Male,FALSE,3.2,STEM,Asian,710,4,Other,Denied
326,Male,FALSE,3.1,Humanities,Hispanic,570,5,Health Care,Denied
327,Male,FALSE,3.37,Humanities,White,660,4,Consulting,Denied
328,Male,TRUE,3.31,Humanities,,610,6,Technology,Denied
329,Male,FALSE,3.34,STEM,White,750,6,Other,Denied
330,Male,FALSE,3.38,Business,Asian,570,4,Other,Denied
331,Female,FALSE,3.32,Humanities,Hispanic,600,5,Financial Services,Denied
332,Male,TRUE,3.33,Business,,670,5,Consulting,Admit
333,Male,FALSE,3.23,STEM,White,600,5,Other,Denied
334,Male,TRUE,3.06,STEM,,630,5,Financial Services,Denied
335,Male,TRUE,3.01,Business,,570,7,Real Estate,Denied
336,Female,FALSE,3.21,Humanities,White,700,6,PE/VC,Admit
337,Male,FALSE,3.5,Humanities,Asian,670,5,Nonprofit/Gov,Denied
338,Female,TRUE,3.29,Humanities,,690,4,Financial Services,Admit
339,Male,TRUE,3.2,Business,,650,5,Consulting,Denied
340,Male,TRUE,3.11,Humanities,,600,5,Consulting,Denied
341,Female,FALSE,3.1,Business,Other,620,6,Real Estate,Admit
342,Male,FALSE,3.39,Business,White,730,6,Investment Banking,Denied
343,Male,TRUE,3.28,Business,,660,4,Technology,Denied
344,Female,FALSE,3.18,STEM,White,590,6,Nonprofit/Gov,Admit
345,Female,FALSE,2.96,Humanities,White,580,7,Financial Services,Admit
346,Male,TRUE,3.58,STEM,,710,5,Investment Banking,Admit
347,Female,FALSE,3.35,STEM,White,700,5,Technology,Admit
348,Male,FALSE,3.16,STEM,Black,650,5,Technology,Denied
349,Male,FALSE,3.1,STEM,White,620,4,Other,Denied
350,Male,FALSE,3.17,STEM,Hispanic,700,5,Consulting,Denied
351,Male,FALSE,3.2,Business,Asian,690,5,Consulting,Denied
352,Female,TRUE,3.09,Humanities,,660,6,Financial Services,Admit
353,Female,FALSE,3.47,Humanities,White,760,4,Technology,Admit
354,Male,FALSE,3.24,STEM,White,630,6,Consulting,Denied
355,Male,FALSE,3.28,STEM,Black,720,5,PE/VC,Admit
356,Male,FALSE,3.37,STEM,White,690,5,Consulting,Admit
357,Female,TRUE,3.31,Humanities,,630,6,Nonprofit/Gov,Admit
358,Female,TRUE,3.03,Humanities,,660,5,Consulting,Admit
359,Male,TRUE,3.05,Humanities,,580,3,Consulting,Denied
360,Male,FALSE,3.06,Humanities,Asian,600,5,PE/VC,Denied
361,Male,FALSE,3.41,Humanities,Black,620,4,Consulting,Denied
362,Male,TRUE,3.46,Humanities,,650,7,Health Care,Denied
363,Male,FALSE,3.16,STEM,Black,620,5,Consulting,Denied
364,Male,FALSE,3.06,Business,Other,630,5,Other,Denied
365,Female,FALSE,3.42,Humanities,White,700,6,Consulting,Admit
366,Female,FALSE,3.27,Business,White,660,4,Consulting,Admit
367,Male,TRUE,3.08,STEM,,580,6,PE/VC,Denied
368,Male,FALSE,3.27,Humanities,Black,690,6,Other,Denied
369,Male,FALSE,3.22,Business,Asian,580,5,Investment Banking,Denied
370,Female,FALSE,3.16,Humanities,White,620,5,Technology,Admit
371,Male,TRUE,3.39,STEM,,710,6,Investment Banking,Denied
372,Male,FALSE,3.22,STEM,White,570,6,Other,Denied
373,Female,FALSE,3.12,Business,Hispanic,570,4,PE/VC,Denied
374,Female,TRUE,3.21,STEM,,600,4,Consulting,Admit
375,Female,FALSE,3.01,Humanities,Black,660,8,Technology,Denied
376,Female,FALSE,3.47,Business,Black,640,6,PE/VC,Denied
377,Female,TRUE,3.18,Business,,690,3,Financial Services,Admit
378,Male,TRUE,3.38,Humanities,,680,7,CPG,Denied
379,Female,FALSE,3.11,STEM,Other,610,6,PE/VC,Admit
380,Male,TRUE,3.08,Humanities,,620,6,Technology,Denied
381,Female,FALSE,3.26,STEM,White,650,6,Consulting,Admit
382,Male,FALSE,3.21,Business,Asian,630,4,Consulting,Denied
383,Female,FALSE,3.1,Business,Asian,610,5,Nonprofit/Gov,Admit
384,Male,TRUE,3.17,Business,,580,6,Consulting,Denied
385,Male,FALSE,3.43,Humanities,Hispanic,660,4,CPG,Admit
386,Female,FALSE,3.31,STEM,White,620,5,Investment Banking,Admit
387,Female,FALSE,3.03,Humanities,Asian,590,5,Consulting,Admit
388,Female,TRUE,3.08,STEM,,630,5,Health Care,Admit
389,Female,FALSE,3.18,Humanities,Hispanic,620,6,Investment Management,Denied
390,Male,FALSE,3.47,Business,White,690,6,Other,Denied
391,Male,FALSE,3.42,Business,Asian,720,3,Consulting,Denied
392,Female,FALSE,3.34,Business,White,680,4,Financial Services,Admit
393,Male,TRUE,3.37,Business,,680,5,Health Care,Denied
394,Female,FALSE,3.49,Humanities,White,690,5,Financial Services,Admit
395,Male,TRUE,3.32,STEM,,580,5,Real Estate,Denied
396,Male,FALSE,3.3,Humanities,Other,620,5,CPG,Denied
397,Male,FALSE,3.38,Humanities,White,680,4,Financial Services,Denied
398,Male,FALSE,3.18,STEM,White,590,4,PE/VC,Denied
399,Female,FALSE,3.28,STEM,Hispanic,630,5,Other,Denied
400,Male,FALSE,3.24,Humanities,White,600,3,PE/VC,Denied
401,Male,FALSE,3.15,Humanities,Black,610,6,Consulting,Denied
